fit_time,score_time,test_accuracy,test_precision_weighted,test_recall_weighted,test_f1_weighted,test_roc_auc,model
0.023325283895246685,0.0,0.8202614379084967,0.8205041678507151,0.8202614379084967,0.8199506351923022,0.9025058899121868,LogReg
0.023393374984152615,0.0,0.869281045751634,0.8712418300653596,0.869281045751634,0.8689105780867253,0.9181919261033186,LogReg
0.023378225974738598,0.0,0.8758169934640523,0.875998547567175,0.8758169934640523,0.8758702703127099,0.9277739608382,LogReg
0.023272383026778698,0.0,0.8235294117647058,0.8248361545575168,0.8235294117647058,0.8236199095022624,0.8889126712328768,LogReg
0.023173344903625548,0.0,0.8491803278688524,0.8492468773220048,0.8491803278688524,0.8491770852718423,0.9149466804265567,LogReg
0.003397029940970242,0.0,0.803921568627451,0.8038608867144538,0.803921568627451,0.8037533259474796,0.8736988648532877,KNN
0.0034253239864483476,0.0,0.869281045751634,0.8694222544985072,0.869281045751634,0.8692027039126153,0.931085357509408,KNN
0.003320434014312923,0.0,0.8660130718954249,0.8663435789108247,0.8660130718954249,0.8660949508008331,0.9317244933012712,KNN
0.003338719019666314,0.0,0.8169934640522876,0.817809340642158,0.8169934640522876,0.8170873416409412,0.8927226027397261,KNN
0.003424883005209267,0.0,0.8786885245901639,0.8800351288056206,0.8786885245901639,0.8785945666268297,0.9477124183006536,KNN
0.07748648896813393,0.0,0.7875816993464052,0.7907355534806515,0.7875816993464052,0.786053113248055,0.8600556864424931,SVM
0.07866876607295126,0.0,0.8235294117647058,0.8284348149372108,0.8235294117647058,0.8223876507124589,0.8977933629832364,SVM
0.07929880695883185,0.0,0.8333333333333334,0.8393624829610989,0.8333333333333334,0.8314503716802567,0.9034266575060117,SVM
0.07737322303000838,0.0,0.7875816993464052,0.7984380650140596,0.7875816993464052,0.7867839972319755,0.8767123287671232,SVM
0.08052225096616894,0.0,0.8098360655737705,0.8100330465162876,0.8098360655737705,0.8097951701040015,0.9155056759545924,SVM
0.0019248520256951451,0.0,1.0,1.0,1.0,1.0,1.0,GNB
0.0018365029245615005,0.0,1.0,1.0,1.0,1.0,1.0,GNB
0.001852724002674222,0.0,1.0,1.0,1.0,1.0,1.0,GNB
0.0018271950539201498,0.0,1.0,1.0,1.0,1.0,1.0,GNB
0.0018320248927921057,0.0,1.0,1.0,1.0,1.0,1.0,GNB
