fit_time,score_time,test_accuracy,test_precision_weighted,test_recall_weighted,test_f1_weighted,test_roc_auc,model
0.026038766955025494,0.0,0.96,0.96,0.96,0.96,0.9883195842478367,LogReg
0.02577994402963668,0.0,0.9475,0.9479773727215587,0.9475,0.9474469966326166,0.9727814503205128,LogReg
0.02612553199287504,0.0,0.949874686716792,0.9502045185824305,0.949874686716792,0.9498234454833131,0.9847064751826656,LogReg
0.02632123394869268,0.0,0.949874686716792,0.9499484343041511,0.949874686716792,0.949814660990021,0.9868066500584676,LogReg
0.02613313600886613,0.0,0.9373433583959899,0.937430513674178,0.9373433583959899,0.9373339089317014,0.981781173041162,LogReg
0.004165992024354637,0.0,0.8925,0.8931400255754477,0.8925,0.8921323422102932,0.9618305204470345,KNN
0.004004443995654583,0.0,0.9125,0.9126710351233963,0.9125,0.9124424194185223,0.9476913060897436,KNN
0.0040922610787674785,0.0,0.9197994987468672,0.9200540056881732,0.9197994987468672,0.9197175127733009,0.9751952632905014,KNN
0.004230445018038154,0.0,0.9122807017543859,0.9153254381993516,0.9122807017543859,0.9125132658432348,0.9734607758401546,KNN
0.0041375369764864445,0.0,0.8847117794486216,0.8851033283419668,0.8847117794486216,0.8847074344151837,0.9632230989596422,KNN
0.07784040493424982,0.0,0.9025,0.9025202922077924,0.9025,0.9023674526243906,0.9745704987512298,SVM
0.07766436005476862,0.0,0.915,0.915,0.915,0.915,0.9657201522435896,SVM
0.0791163049871102,0.0,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.981657848324515,SVM
0.08041715098079294,0.0,0.9323308270676691,0.9327882928328716,0.9323308270676691,0.9324123267339733,0.9810869896791906,SVM
0.07672251702751964,0.0,0.8897243107769424,0.8899087005921256,0.8897243107769424,0.8897270815229027,0.9597175453585968,SVM
0.0024027139879763126,0.0,0.815,0.8153220169103852,0.815,0.8141437798799714,0.871515426726204,GNB
0.0023536920780315995,0.0,0.84,0.8412329183115699,0.84,0.8395776241357638,0.8778044871794871,GNB
0.00233388296328485,0.0,0.8220551378446115,0.8225232867108542,0.8220551378446115,0.8216591473309547,0.8786092214663642,GNB
0.002344203065149486,0.0,0.8471177944862155,0.8485732290569021,0.8471177944862155,0.8474137985033449,0.8950632975748639,GNB
0.0023289539385586977,0.0,0.849624060150376,0.8496780896966033,0.849624060150376,0.8496297278701049,0.8938030858923456,GNB
