fit_time,score_time,test_accuracy,test_precision_weighted,test_recall_weighted,test_f1_weighted,test_roc_auc,model
0.021640089922584593,0.0,0.9292929292929293,0.930643229870674,0.9292929292929293,0.9291039096712386,0.9760691537761602,LogReg
0.02231600903905928,0.0,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9797475252020706,LogReg
0.022535186959430575,0.0,0.9459459459459459,0.9462817007461902,0.9459459459459459,0.9459410101787856,0.9710085376432452,LogReg
0.02234095591120422,0.0,0.9324324324324325,0.932486812768503,0.9324324324324325,0.9324169912405207,0.97953216374269,LogReg
0.022575253969989717,0.0,0.9459459459459459,0.9463711013006786,0.9459459459459459,0.9459855459855457,0.9853696569436801,LogReg
0.003311245935037732,0.0,0.8956228956228957,0.8962269247891841,0.8956228956228957,0.8954227957343223,0.9636487716105552,KNN
0.0032680740114301443,0.0,0.898989898989899,0.9033091451803819,0.898989898989899,0.8984910836762688,0.953024248478794,KNN
0.003218178986571729,0.0,0.8952702702702703,0.9018133647039898,0.8952702702702703,0.8947909222672631,0.9690453362553074,KNN
0.0032635160023346543,0.0,0.8986486486486487,0.8994150314698262,0.8986486486486487,0.8986625304937864,0.9604120979532164,KNN
0.0032095620408654213,0.0,0.9087837837837838,0.9148988727918034,0.9087837837837838,0.9088368848719047,0.9676435516419005,KNN
0.055117098963819444,0.0,0.9057239057239057,0.9057248264248539,0.9057239057239057,0.9056831251531187,0.9660600545950865,SVM
0.053697089897468686,0.0,0.8956228956228957,0.8957065345600377,0.8956228956228957,0.8955730866357705,0.9697575152120608,SVM
0.0559209220809862,0.0,0.9358108108108109,0.9358277798346291,0.9358108108108109,0.9358086127265531,0.9810528238140894,SVM
0.05331875791307539,0.0,0.8783783783783784,0.8785664785664785,0.8783783783783784,0.8783116388750191,0.9621253654970761,SVM
0.05476420500781387,0.0,0.9222972972972973,0.922957408251526,0.9222972972972973,0.9223639826848395,0.9819299211153917,SVM
0.0017799859633669257,0.0,1.0,1.0,1.0,1.0,1.0,GNB
0.001782860024832189,0.0,1.0,1.0,1.0,1.0,1.0,GNB
0.0017768900142982602,0.0,1.0,1.0,1.0,1.0,1.0,GNB
0.001757082063704729,0.0,1.0,1.0,1.0,1.0,1.0,GNB
0.0017828110139817,0.0,1.0,1.0,1.0,1.0,1.0,GNB
