fit_time,score_time,test_accuracy,test_precision_weighted,test_recall_weighted,test_f1_weighted,test_roc_auc,model
0.14806485176086426,0.011815547943115234,0.79296875,0.7935537977099237,0.79296875,0.7930865655327418,0.8801916541802548,LogReg
0.10360550880432129,0.00815129280090332,0.79140625,0.7923511797946208,0.79140625,0.7915266531907096,0.8764508527086255,LogReg
0.18228983879089355,0.010966777801513672,0.7709147771696638,0.7713070559365229,0.7709147771696638,0.7709030135893801,0.8585896382383441,LogReg
0.15307188034057617,0.014707088470458984,0.7748240813135262,0.7761619869270359,0.7748240813135262,0.7748083889595863,0.8718744952943077,LogReg
0.15864992141723633,0.012000799179077148,0.7998436278342455,0.800347358513594,0.7998436278342455,0.7998999301980735,0.8865428961708502,LogReg
0.007513284683227539,0.21332859992980957,0.78203125,0.7868028035903691,0.78203125,0.7820029128425389,0.8681128869563515,KNN
0.00856328010559082,0.2148749828338623,0.76875,0.7787669761924241,0.76875,0.7680037112736662,0.8505196518198215,KNN
0.00854349136352539,0.2143702507019043,0.7693510555121188,0.7728488496923195,0.7693510555121188,0.7688443200619867,0.8529609575238207,KNN
0.007459163665771484,0.284121036529541,0.7771696637998436,0.7826879450592595,0.7771696637998436,0.7766262074475103,0.8603243819955266,KNN
0.010365009307861328,0.3527848720550537,0.7709147771696638,0.7710768893005834,0.7709147771696638,0.7709576600970696,0.8548499625457162,KNN
2.4162485599517822,1.2510991096496582,0.8046875,0.8119262283492835,0.8046875,0.8044776404151405,0.9022901548315068,SVM
4.223560094833374,1.256460189819336,0.80234375,0.809883890086207,0.80234375,0.8020252180608454,0.886816970480057,SVM
2.804473876953125,1.3543031215667725,0.781078967943706,0.7823637733686636,0.781078967943706,0.7809558065228324,0.8708105887186712,SVM
4.2511889934539795,1.2483651638031006,0.7818608287724785,0.7899725716589644,0.7818608287724785,0.7809695452391314,0.8911695468538176,SVM
2.662900447845459,1.2736694812774658,0.7943706020328382,0.7949150540787073,0.7943706020328382,0.7944286938023177,0.8925943333871891,SVM
0.03267240524291992,0.012970685958862305,0.65859375,0.7481647879981269,0.65859375,0.6334606385990454,0.9112044735630832,GNB
0.041199684143066406,0.017318248748779297,0.64375,0.7411380597014925,0.64375,0.6128895781101409,0.8999875195465924,GNB
0.03688645362854004,0.013000249862670898,0.6591086786551994,0.7438643856898429,0.6591086786551994,0.6289340771966163,0.9111724971141242,GNB
0.032932281494140625,0.018973350524902344,0.6591086786551994,0.7446651680793787,0.6591086786551994,0.6310351808774897,0.9172380546868499,GNB
0.016741275787353516,0.016812562942504883,0.6989835809225958,0.7743963218551508,0.6989835809225958,0.6725009880587389,0.9265565559684503,GNB
