fit_time,score_time,test_accuracy,test_precision_weighted,test_recall_weighted,test_f1_weighted,test_roc_auc,model
0.04935503005981445,0.009984970092773438,0.9497354497354498,0.9504213207916911,0.9497354497354498,0.9497526931489195,0.9697802197802198,LogReg
0.06829237937927246,0.01481938362121582,0.9391534391534392,0.9395119003181713,0.9391534391534392,0.939168348871853,0.9762084909625894,LogReg
0.047449588775634766,0.010001182556152344,0.9417989417989417,0.9438145628621818,0.9417989417989417,0.9418576566117549,0.9698962813053377,LogReg
0.047742366790771484,0.00999760627746582,0.9285714285714286,0.928559250479005,0.9285714285714286,0.9285060952448481,0.9747742136406103,LogReg
0.0465242862701416,0.010085582733154297,0.9285714285714286,0.9294581280788177,0.9285714285714286,0.9286949646686761,0.9706632653061225,LogReg
0.004477739334106445,0.0597989559173584,0.9603174603174603,0.9606785439862127,0.9603174603174603,0.9603299650567566,0.9859693877551021,KNN
0.003446817398071289,0.042989492416381836,0.9603174603174603,0.9604136604136605,0.9603174603174603,0.9603049429558799,0.9827238335435057,KNN
0.0033845901489257812,0.043077945709228516,0.955026455026455,0.9567340336657245,0.955026455026455,0.9550715183830133,0.9790454507125391,KNN
0.0029456615447998047,0.08804154396057129,0.9497354497354498,0.9522324802937048,0.9497354497354498,0.9498595597361029,0.9861555448599983,KNN
0.007025957107543945,0.0981283187866211,0.9576719576719577,0.9579789769448834,0.9576719576719577,0.9577174459527401,0.9870323129251701,KNN
0.10234355926513672,0.1040961742401123,0.9523809523809523,0.9526209677419354,0.9523809523809523,0.9523942925444494,0.9907490468714959,SVM
0.0960536003112793,0.09223771095275879,0.9444444444444444,0.9448021649869354,0.9444444444444444,0.9444580576656049,0.9890710382513661,SVM
0.18247580528259277,0.192779541015625,0.9523809523809523,0.9526480474681389,0.9523809523809523,0.9524076888833635,0.9888411052084212,SVM
0.10033369064331055,0.1010746955871582,0.9656084656084656,0.9656689050301235,0.9656084656084656,0.9655770088215935,0.9901758160867472,SVM
0.17888784408569336,0.19668173789978027,0.9629629629629629,0.9632598279019594,0.9629629629629629,0.9630027652086476,0.990391156462585,SVM
0.01305246353149414,0.014698505401611328,1.0,1.0,1.0,1.0,1.0,GNB
0.013090133666992188,0.014634370803833008,1.0,1.0,1.0,1.0,1.0,GNB
0.015845775604248047,0.018299102783203125,1.0,1.0,1.0,1.0,1.0,GNB
0.004937648773193359,0.010715007781982422,1.0,1.0,1.0,1.0,1.0,GNB
0.015981435775756836,0.017612934112548828,1.0,1.0,1.0,1.0,1.0,GNB
