fit_time,score_time,test_accuracy,test_precision_weighted,test_recall_weighted,test_f1_weighted,test_roc_auc,model
0.5811975002288818,0.013578176498413086,0.9153884215734784,0.9157116540244266,0.9153884215734784,0.9154313880395673,0.9678756049112011,LogReg
0.35924696922302246,0.01378321647644043,0.9109351806036615,0.9119412710134814,0.9109351806036615,0.910966283102623,0.9607445068201343,LogReg
0.37624669075012207,0.009781599044799805,0.9104403760514597,0.9115412979223362,0.9104403760514597,0.9105392898184693,0.9665493269702141,LogReg
0.5077016353607178,0.013062238693237305,0.9188520534388916,0.9189229265724358,0.9188520534388916,0.9188649807361879,0.9698402673717079,LogReg
0.36319470405578613,0.013755321502685547,0.9143988124690747,0.9163185571177689,0.9143988124690747,0.914470162084716,0.9701116648717485,LogReg
0.012839317321777344,0.37902402877807617,0.9440870856011875,0.9444880056163983,0.9440870856011875,0.9441189296910207,0.9821021929074837,KNN
0.01411747932434082,0.5679709911346436,0.9391390400791687,0.9393024114675917,0.9391390400791687,0.9391542521835166,0.97768254696811,KNN
0.015480279922485352,0.5620777606964111,0.9406234537357744,0.94108068998301,0.9406234537357744,0.9406712379205052,0.9776685429205378,KNN
0.01717066764831543,0.7816357612609863,0.9480455220188025,0.9481445386881512,0.9480455220188025,0.948055784073412,0.9832873069047487,KNN
0.012466669082641602,0.45562314987182617,0.9386442355269669,0.9396307620993382,0.9386442355269669,0.938692548668525,0.9808811737978633,KNN
3.7398157119750977,1.4539666175842285,0.938149430974765,0.9393474382144572,0.938149430974765,0.9381969670003861,0.9845596600119065,SVM
4.274591445922852,1.433072805404663,0.9302325581395349,0.9319616755896395,0.9302325581395349,0.9302492305045859,0.9752174322399936,SVM
6.154770612716675,1.3072741031646729,0.9356754082137556,0.9369710774113674,0.9356754082137556,0.9357503801456969,0.9834326586300788,SVM
6.240037441253662,1.452033519744873,0.9411182582879762,0.941789674014217,0.9411182582879762,0.9411385345039145,0.9842620995896848,SVM
4.258619546890259,1.527130365371704,0.9356754082137556,0.9377773140160597,0.9356754082137556,0.9357284520802356,0.9844176211176706,SVM
0.06412720680236816,0.027650833129882812,0.9995051954477981,0.9995056587479406,0.9995051954477981,0.9995051815933265,1.0,GNB
0.05248713493347168,0.023937463760375977,0.9995051954477981,0.9995056666902288,0.9995051954477981,0.9995051859844886,0.9994855967078189,GNB
0.06207013130187988,0.027644872665405273,0.9995051954477981,0.9995056519095622,0.9995051954477981,0.9995051776680192,0.9994669509594882,GNB
0.037879228591918945,0.018691062927246094,1.0,1.0,1.0,1.0,1.0,GNB
0.03823995590209961,0.019391298294067383,1.0,1.0,1.0,1.0,1.0,GNB
